ID;FFECHA;Mora30;Mora60;MoraMax_UltimoSemestre;Experiencia;PersonasCargo;GastosFamiliares;GastoArriendo;TiempoActividad;OCUPACION;TIPCONTRATO;Edad;Estado_Civil;Genero;Ingresos;Nivel_Academico;Tipo_Vivienda;TiempoCliente;Tiempo_SistemaFro;PORCEND;Obligaciones_SistemaFro
1;201710;0;0;0;0;0;7837,87;0;10;JUBILADOS/PENSIONADO;TÉRMINO INDEFINIDO;61;CASADO;MASCULINO;11698,31343;TECNÓLOGO;PROPIA;40;0;1,020685467;0
2;201711;1;0;59;0;1;9194,07;0;1;EMPLEADO;TÉRMINO INDEFINIDO;45;CASADO;FEMENINO;13722,49254;TECNÓLOGO;ALQUILADA;0;0;0,543828794;0
3;201704;0;0;30;1;1;8450;0;1;EMPLEADO;TÉRMINO FIJO;55;CASADO;MASCULINO;12611,9403;BACHILLER;PROPIA;13;73;0,946745562;0
4;201707;1;0;47;0;0;7472;0;1;EMPLEADO;TÉRMINO FIJO;35;SOLTERO;MASCULINO;11152,23881;UNIVERSITARIO;FAMILIAR;1;0;0,936830835;0
5;201709;0;0;0;0;0;6160;0;2;EMPLEADO;TÉRMINO FIJO;58;SOLTERO;MASCULINO;9194,029851;UNIVERSITARIO;FAMILIAR;0;0;0,487012987;0
6;201705;0;0;30;0;1;6160;0;2;EMPLEADO;TÉRMINO INDEFINIDO;50;SOLTERO;MASCULINO;9194,029851;BACHILLER;FAMILIAR;0;0;0,487012987;0
7;201803;0;0;29;1;0;6160;0;15;JUBILADOS/PENSIONADO;OTROS;53;OTROS;MASCULINO;9194,029851;OTROS;PROPIA;9;105;0,974025974;1
8;201703;1;1;91;0;0;9000;0;1;EMPLEADO;TÉRMINO INDEFINIDO;49;DIVORCIADO;MASCULINO;9194,029851;UNIVERSITARIO;FAMILIAR;0;0;0,487012987;0
9;201706;0;0;0;0;1;6160;0;3;JUBILADOS/PENSIONADO;OTROS;69;CASADO;MASCULINO;9194,029851;BACHILLER;PROPIA;6;77;0,974025974;0
10;201712;0;0;0;1;0;6900;0;2;EMPLEADO;TÉRMINO INDEFINIDO;56;SOLTERO;MASCULINO;10298,50746;BACHILLER;FAMILIAR;10;92;1,014492754;1
11;201705;0;0;0;0;1;6160;0;10;EMPLEADO;TÉRMINO FIJO;63;CASADO;MASCULINO;9194,029851;BACHILLER;FAMILIAR;6;80;0,974025974;0
12;201706;0;0;0;0;0;8900;0;1;EMPLEADO;TÉRMINO INDEFINIDO;29;SOLTERO;MASCULINO;13283,58209;UNIVERSITARIO;FAMILIAR;0;0;0,449438202;0
13;201708;0;0;18;0;2;9400;300000;9;EMPLEADO;TÉRMINO INDEFINIDO;30;OTROS;MASCULINO;14029,85075;BACHILLER;ALQUILADA;0;0;0,319148936;0
14;201802;0;0;29;0;0;8095;0;3;EMPLEADO;TÉRMINO FIJO;37;DIVORCIADO;MASCULINO;12082,08955;TECNÓLOGO;FAMILIAR;37;0;0,49413218;0
15;201710;0;0;0;1;1;9416;0;15;EMPLEADO;TÉRMINO INDEFINIDO;60;CASADO;MASCULINO;14053,73134;TECNÓLOGO;FAMILIAR;10;10;0,955819881;1
16;201707;0;0;0;1;0;8100;0;1;EMPLEADO;TÉRMINO INDEFINIDO;30;SOLTERO;MASCULINO;12089,55224;UNIVERSITARIO;FAMILIAR;3;24;0,987654321;1
17;201705;1;1;90;1;2;6160;0;2;EMPLEADO;TÉRMINO INDEFINIDO;37;SOLTERO;MASCULINO;9194,029851;OTROS;FAMILIAR;29;29;0,811688312;1
18;201707;1;0;46;0;1;6180;0;20;EMPLEADO;OBRA, LABOR O MISIÓN;44;CASADO;MASCULINO;9223,880597;OTROS;FAMILIAR;0;0;0,485436893;0
19;201705;0;0;17;0;0;9000;180000;15;EMPLEADO;TÉRMINO INDEFINIDO;42;SOLTERO;MASCULINO;13432,83582;BACHILLER;ALQUILADA;0;0;0,555555556;0
20;201712;0;0;16;0;0;8404,79;0;1;JUBILADOS/PENSIONADO;OTROS;59;CASADO;MASCULINO;12544,46269;BACHILLER;PROPIA;49;49;0,951838178;0
21;201706;0;0;0;1;1;9800;0;1;EMPLEADO;TÉRMINO FIJO;30;SOLTERO;MASCULINO;14626,86567;TECNÓLOGO;FAMILIAR;4;26;1,020408163;1
22;201711;1;1;183;1;1;6500;0;4;EMPLEADO;TÉRMINO FIJO;31;SOLTERO;MASCULINO;9701,492537;BACHILLER;FAMILIAR;11;31;1,076923077;1
23;201706;0;0;0;0;2;6160;0;1;EMPLEADO;TÉRMINO INDEFINIDO;47;CASADO;MASCULINO;9194,029851;BACHILLER;PROPIA;44;0;0,974025974;0
24;201801;0;0;0;0;1;6160;0;2;EMPLEADO;TÉRMINO FIJO;44;CASADO;MASCULINO;9194,029851;BACHILLER;FAMILIAR;0;0;0,487012987;0
